concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match,ai_suggested_label,embedding_similarity,keyword_overlap,reason
Similarity of matrices,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,0,0.0718,0.2,Low sim=0.072 - no semantic relation
Similarity of matrices,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,0,0.0275,0.14285714285714285,Low sim=0.027 - no semantic relation
Similarity of matrices,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,0,0.057,0.0,Low sim=0.057 - no semantic relation
Similarity of matrices,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,0,0.0153,0.0,Low sim=0.015 - no semantic relation
Similarity of matrices,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,0,-0.0045,0.0,Low sim=-0.004 - no semantic relation
Similarity of matrices,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,0,0.0595,0.0,Low sim=0.060 - no semantic relation
Similarity of matrices,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,0,0.0499,0.0,Low sim=0.050 - no semantic relation
Similarity of matrices,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,0,0.1671,0.0,"No prereq signal: sim=0.167, delta=10, kw=0.000"
Similarity of matrices,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,0,0.0755,0.14285714285714285,Low sim=0.075 - no semantic relation
Similarity of matrices,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,0,-0.0128,0.0,Low sim=-0.013 - no semantic relation
Similarity of matrices,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,0,0.0009,0.16666666666666666,Low sim=0.001 - no semantic relation
Similarity of matrices,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,14,1,0,-0.0637,0.1111111111111111,Low sim=-0.064 - no semantic relation
Quadratic forms,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,0,0.161,0.0,"No prereq signal: sim=0.161, delta=1, kw=0.000"
Quadratic forms,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,1,0.2615,0.0,Adjacent same-course topics: delta=2 + sim=0.262
Quadratic forms,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,0,0.1094,0.0,Low sim=0.109 - no semantic relation
Quadratic forms,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,0,0.226,0.0,"No prereq signal: sim=0.226, delta=4, kw=0.000"
Quadratic forms,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,0,0.1793,0.0,"No prereq signal: sim=0.179, delta=5, kw=0.000"
Quadratic forms,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,0,0.1713,0.0,"No prereq signal: sim=0.171, delta=6, kw=0.000"
Quadratic forms,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,0,0.2002,0.0,"No prereq signal: sim=0.200, delta=7, kw=0.000"
Quadratic forms,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,0,0.2168,0.0,"No prereq signal: sim=0.217, delta=8, kw=0.000"
Quadratic forms,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,0,0.2821,0.0,"No prereq signal: sim=0.282, delta=9, kw=0.000"
Quadratic forms,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,0,0.1161,0.0,Low sim=0.116 - no semantic relation
Quadratic forms,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,0,0.1331,0.0,Low sim=0.133 - no semantic relation
Quadratic forms,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,0,0.0328,0.0,Low sim=0.033 - no semantic relation
Quadratic forms,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,0,0.0468,0.0,Low sim=0.047 - no semantic relation
Quadratic forms,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,14,1,0,0.1998,0.0,delta=14>=12 + sim=0.200<0.45 - far + weakly related
Linear and Non-Linear Programming Problems,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,1,0.2528,0.0,Adjacent same-course topics: delta=1 + sim=0.253
Linear and Non-Linear Programming Problems,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,1,0.2497,0.1111111111111111,Adjacent same-course topics: delta=2 + sim=0.250
Linear and Non-Linear Programming Problems,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,1,0.575,0.125,sim=0.575>=0.45 + delta=3<=5
Linear and Non-Linear Programming Problems,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,0,0.2234,0.0,"No prereq signal: sim=0.223, delta=4, kw=0.000"
Linear and Non-Linear Programming Problems,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,0,0.3948,0.0,"No prereq signal: sim=0.395, delta=5, kw=0.000"
Linear and Non-Linear Programming Problems,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,0,0.2473,0.0,"No prereq signal: sim=0.247, delta=6, kw=0.000"
Linear and Non-Linear Programming Problems,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,0,-0.0405,0.0,Low sim=-0.041 - no semantic relation
Linear and Non-Linear Programming Problems,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,0,0.1338,0.16666666666666666,Low sim=0.134 - no semantic relation
Linear and Non-Linear Programming Problems,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,0,0.0412,0.0,Low sim=0.041 - no semantic relation
Linear and Non-Linear Programming Problems,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,0,0.0428,0.0,Low sim=0.043 - no semantic relation
Linear and Non-Linear Programming Problems,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,0,-0.127,0.0,Low sim=-0.127 - no semantic relation
Linear and Non-Linear Programming Problems,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,0,-0.0229,0.09090909090909091,Low sim=-0.023 - no semantic relation
Linear and Non-Linear Programming Problems,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,0,-0.13,0.0,Low sim=-0.130 - no semantic relation
Linear and Non-Linear Programming Problems,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,14,1,0,0.2796,0.0,delta=14>=12 + sim=0.280<0.45 - far + weakly related
Types of solutions,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,0,0.1217,0.14285714285714285,Low sim=0.122 - no semantic relation
Types of solutions,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,1,0.479,0.16666666666666666,sim=0.479>=0.45 + delta=2<=5
Types of solutions,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,0,0.1297,0.0,Low sim=0.130 - no semantic relation
Types of solutions,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,1,0.2761,0.0,Foundational kw in A + sim=0.276 + delta=4
Types of solutions,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,0,0.1889,0.0,"No prereq signal: sim=0.189, delta=5, kw=0.000"
Types of solutions,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,0,0.0776,0.0,Low sim=0.078 - no semantic relation
Types of solutions,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,0,0.1037,0.0,Low sim=0.104 - no semantic relation
Types of solutions,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,0,0.0485,0.14285714285714285,Low sim=0.049 - no semantic relation
Types of solutions,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,0,0.1982,0.0,"No prereq signal: sim=0.198, delta=9, kw=0.000"
Types of solutions,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,0,0.0109,0.16666666666666666,Low sim=0.011 - no semantic relation
Types of solutions,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,0,0.0343,0.1111111111111111,Low sim=0.034 - no semantic relation
Types of solutions,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,0,0.0521,0.14285714285714285,Low sim=0.052 - no semantic relation
Types of solutions,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,0,0.1037,0.2,Low sim=0.104 - no semantic relation
Types of solutions,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,14,1,0,0.0109,0.0,Low sim=0.011 - no semantic relation
Standard and Canonical of LPP,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,1,0.224,0.125,Adjacent same-course topics: delta=1 + sim=0.224
Standard and Canonical of LPP,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,0,0.1656,0.0,"No prereq signal: sim=0.166, delta=2, kw=0.000"
Standard and Canonical of LPP,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,0,0.1601,0.0,"No prereq signal: sim=0.160, delta=3, kw=0.000"
Standard and Canonical of LPP,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,0,0.0818,0.0,Low sim=0.082 - no semantic relation
Standard and Canonical of LPP,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,0,0.0827,0.0,Low sim=0.083 - no semantic relation
Standard and Canonical of LPP,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,0,0.1686,0.0,"No prereq signal: sim=0.169, delta=6, kw=0.000"
Standard and Canonical of LPP,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,0,0.0824,0.1111111111111111,Low sim=0.082 - no semantic relation
Standard and Canonical of LPP,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,0,0.0865,0.0,Low sim=0.086 - no semantic relation
Standard and Canonical of LPP,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,0,-0.0222,0.125,Low sim=-0.022 - no semantic relation
Standard and Canonical of LPP,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,0,0.0379,0.2,Low sim=0.038 - no semantic relation
Standard and Canonical of LPP,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,0,0.0169,0.1111111111111111,Low sim=0.017 - no semantic relation
Standard and Canonical of LPP,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,0,0.1162,0.14285714285714285,Low sim=0.116 - no semantic relation
Standard and Canonical of LPP,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,0,0.0601,0.0,Low sim=0.060 - no semantic relation
Standard and Canonical of LPP,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,14,1,0,0.0491,0.0,Low sim=0.049 - no semantic relation
Basic and Feasible solutions,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,1,0.33,0.0,Foundational kw in A + sim=0.330 + delta=1
Basic and Feasible solutions,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,1,0.4269,0.0,Foundational kw in A + sim=0.427 + delta=2
Basic and Feasible solutions,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,1,0.2568,0.0,Foundational kw in A + sim=0.257 + delta=3
Basic and Feasible solutions,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,0,0.1335,0.0,Low sim=0.133 - no semantic relation
Basic and Feasible solutions,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,0,0.1608,0.0,"No prereq signal: sim=0.161, delta=5, kw=0.000"
Basic and Feasible solutions,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,0,0.1536,0.0,"No prereq signal: sim=0.154, delta=6, kw=0.000"
Basic and Feasible solutions,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,0,0.143,0.0,Low sim=0.143 - no semantic relation
Basic and Feasible solutions,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,0,-0.0731,0.0,Low sim=-0.073 - no semantic relation
Basic and Feasible solutions,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,0,-0.0582,0.1,Low sim=-0.058 - no semantic relation
Basic and Feasible solutions,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,0,-0.0442,0.0,Low sim=-0.044 - no semantic relation
Basic and Feasible solutions,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,0,0.1566,0.0,"No prereq signal: sim=0.157, delta=11, kw=0.000"
Basic and Feasible solutions,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,0,0.0337,0.0,Low sim=0.034 - no semantic relation
Basic and Feasible solutions,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,0,0.0636,0.0,Low sim=0.064 - no semantic relation
Simplex method,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,1,0.267,0.0,Adjacent same-course topics: delta=1 + sim=0.267
Simplex method,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,0,0.0561,0.0,Low sim=0.056 - no semantic relation
Simplex method,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,0,0.0279,0.0,Low sim=0.028 - no semantic relation
Simplex method,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,0,0.1412,0.0,Low sim=0.141 - no semantic relation
Simplex method,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,0,0.155,0.0,"No prereq signal: sim=0.155, delta=5, kw=0.000"
Simplex method,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,0,-0.0792,0.0,Low sim=-0.079 - no semantic relation
Simplex method,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,0,0.0877,0.0,Low sim=0.088 - no semantic relation
Simplex method,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,0,0.1592,0.0,"No prereq signal: sim=0.159, delta=8, kw=0.000"
Simplex method,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,0,0.0717,0.0,Low sim=0.072 - no semantic relation
Simplex method,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,0,0.1042,0.0,Low sim=0.104 - no semantic relation
Simplex method,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,0,0.096,0.0,Low sim=0.096 - no semantic relation
Simplex method,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,0,0.0617,0.0,Low sim=0.062 - no semantic relation
Artificial variables,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,1,0.208,0.0,Adjacent same-course topics: delta=1 + sim=0.208
Artificial variables,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,0,0.0703,0.0,Low sim=0.070 - no semantic relation
Artificial variables,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,0,0.0242,0.0,Low sim=0.024 - no semantic relation
Artificial variables,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,0,0.1005,0.0,Low sim=0.101 - no semantic relation
Artificial variables,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,0,0.0852,0.0,Low sim=0.085 - no semantic relation
