concept_a,concept_b,source_syllabus,order_delta,domain_match,label
Bubble/Selection/Insertion Sort,Linked Lists,ASCEND_seed_truth_layer,-4,1,0
Singly Linked List,Queues,ASCEND_seed_truth_layer,1,1,0
Bubble/Selection/Insertion Sort,Binary Tree,ASCEND_seed_truth_layer,-2,1,0
Transaction Management,SQL Aggregation & Subqueries,ASCEND_seed_truth_layer,-2,1,0
Introduction to DBMS,B-Tree & B+ Tree,ASCEND_seed_truth_layer,4,1,0
Introduction to DBMS,SQL Joins,ASCEND_seed_truth_layer,1,1,0
Functional Dependencies,"1NF, 2NF, 3NF",ASCEND_seed_truth_layer,0,1,0
ER Diagrams,BCNF,ASCEND_seed_truth_layer,2,1,0
ER Diagrams,SQL Joins,ASCEND_seed_truth_layer,1,1,0
B-Tree & B+ Tree,Data Models (ER Model),ASCEND_seed_truth_layer,-4,1,0
SQL Joins,Data Models (ER Model),ASCEND_seed_truth_layer,-1,1,0
"1NF, 2NF, 3NF",Functional Dependencies,ASCEND_seed_truth_layer,0,1,0
Introduction to DBMS,Indexing,ASCEND_seed_truth_layer,4,1,0
B-Tree & B+ Tree,SQL Aggregation & Subqueries,ASCEND_seed_truth_layer,-3,1,0
Exception Handling,Constructors & Destructors,ASCEND_seed_truth_layer,-5,1,0
Classes & Objects,Method Overriding,ASCEND_seed_truth_layer,3,1,0
Inheritance,Interfaces,ASCEND_seed_truth_layer,2,1,0
Singleton Pattern,Access Modifiers,ASCEND_seed_truth_layer,-5,1,0
Access Modifiers,Interfaces,ASCEND_seed_truth_layer,3,1,0
Single & Multiple Inheritance,Encapsulation,ASCEND_seed_truth_layer,-1,1,0
Constructors & Destructors,Abstract Classes,ASCEND_seed_truth_layer,4,1,0
Design Patterns (Intro),Abstract Classes,ASCEND_seed_truth_layer,-2,1,0
Constructors & Destructors,Method Overloading,ASCEND_seed_truth_layer,3,1,0
Exception Handling,Singleton Pattern,ASCEND_seed_truth_layer,1,1,0
