concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match,label,embedding_similarity,keyword_overlap,suggested_label,reason
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,,0.2843,0.0833,0,No signal: sim=0.284 delta=11 kw=0.083
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,,0.1457,0.0667,0,Low sim=0.146
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,,-0.0551,0.0,0,Low sim=-0.055
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,14,1,,0.0501,0.0714,0,Low sim=0.050
Similarity of matrices,Quadratic forms,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,,0.1835,0.0,0,No signal: sim=0.184 delta=1 kw=0.000
Similarity of matrices,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,,0.0555,0.0,0,Low sim=0.056
Similarity of matrices,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,,0.0718,0.2,0,Low sim=0.072
Similarity of matrices,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,,0.0275,0.1429,0,Low sim=0.027
Similarity of matrices,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,,0.057,0.0,0,Low sim=0.057
Similarity of matrices,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,,0.0153,0.0,0,Low sim=0.015
Similarity of matrices,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,,-0.0045,0.0,0,Low sim=-0.004
Similarity of matrices,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,,0.0595,0.0,0,Low sim=0.060
Similarity of matrices,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,,0.0499,0.0,0,Low sim=0.050
Similarity of matrices,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,,0.1671,0.0,0,No signal: sim=0.167 delta=10 kw=0.000
Similarity of matrices,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,,0.0755,0.1429,0,Low sim=0.075
Similarity of matrices,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,,-0.0128,0.0,0,Low sim=-0.013
Similarity of matrices,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,,0.0009,0.1667,0,Low sim=0.001
Similarity of matrices,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,14,1,,-0.0637,0.1111,0,Low sim=-0.064
Quadratic forms,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,,0.161,0.0,0,No signal: sim=0.161 delta=1 kw=0.000
Quadratic forms,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,,0.2615,0.0,1,Adjacent topics: delta=2 + sim=0.262
Quadratic forms,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,,0.1094,0.0,0,Low sim=0.109
Quadratic forms,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,,0.226,0.0,0,No signal: sim=0.226 delta=4 kw=0.000
Quadratic forms,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,,0.1793,0.0,0,No signal: sim=0.179 delta=5 kw=0.000
Quadratic forms,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,,0.1713,0.0,0,No signal: sim=0.171 delta=6 kw=0.000
Quadratic forms,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,,0.2002,0.0,0,No signal: sim=0.200 delta=7 kw=0.000
Quadratic forms,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,,0.2168,0.0,0,No signal: sim=0.217 delta=8 kw=0.000
Quadratic forms,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,,0.2821,0.0,0,No signal: sim=0.282 delta=9 kw=0.000
Quadratic forms,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,,0.1161,0.0,0,Low sim=0.116
Quadratic forms,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,,0.1331,0.0,0,Low sim=0.133
Quadratic forms,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,,0.0328,0.0,0,Low sim=0.033
Quadratic forms,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,,0.0468,0.0,0,Low sim=0.047
Quadratic forms,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,14,1,,0.1998,0.0,0,Far apart: delta=14 + sim=0.200
Linear and Non-Linear Programming Problems,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,,0.2528,0.0,1,Adjacent topics: delta=1 + sim=0.253
Linear and Non-Linear Programming Problems,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,,0.2497,0.1111,1,Adjacent topics: delta=2 + sim=0.250
Linear and Non-Linear Programming Problems,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,,0.575,0.125,1,sim=0.575>=0.45 + delta=3<=5
Linear and Non-Linear Programming Problems,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,,0.2234,0.0,0,No signal: sim=0.223 delta=4 kw=0.000
Linear and Non-Linear Programming Problems,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,,0.3948,0.0,0,No signal: sim=0.395 delta=5 kw=0.000
Linear and Non-Linear Programming Problems,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,,0.2473,0.0,0,No signal: sim=0.247 delta=6 kw=0.000
Linear and Non-Linear Programming Problems,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,,-0.0405,0.0,0,Low sim=-0.041
Linear and Non-Linear Programming Problems,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,,0.1338,0.1667,0,Low sim=0.134
Linear and Non-Linear Programming Problems,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,,0.0412,0.0,0,Low sim=0.041
Linear and Non-Linear Programming Problems,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,,0.0428,0.0,0,Low sim=0.043
Linear and Non-Linear Programming Problems,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,,-0.127,0.0,0,Low sim=-0.127
Linear and Non-Linear Programming Problems,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,,-0.0229,0.0909,0,Low sim=-0.023
Linear and Non-Linear Programming Problems,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,,-0.13,0.0,0,Low sim=-0.130
Linear and Non-Linear Programming Problems,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,14,1,,0.2796,0.0,0,Far apart: delta=14 + sim=0.280
Types of solutions,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,,0.1217,0.1429,0,Low sim=0.122
Types of solutions,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,,0.479,0.1667,1,sim=0.479>=0.45 + delta=2<=5
Types of solutions,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,,0.1297,0.0,0,Low sim=0.130
Types of solutions,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,,0.2761,0.0,1,Foundational kw + sim=0.276 + delta=4
Types of solutions,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,,0.1889,0.0,0,No signal: sim=0.189 delta=5 kw=0.000
Types of solutions,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,,0.0776,0.0,0,Low sim=0.078
Types of solutions,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,,0.1037,0.0,0,Low sim=0.104
Types of solutions,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,,0.0485,0.1429,0,Low sim=0.049
Types of solutions,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,,0.1982,0.0,0,No signal: sim=0.198 delta=9 kw=0.000
Types of solutions,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,,0.0109,0.1667,0,Low sim=0.011
Types of solutions,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,,0.0343,0.1111,0,Low sim=0.034
Types of solutions,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,,0.0521,0.1429,0,Low sim=0.052
Types of solutions,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,,0.1037,0.2,0,Low sim=0.104
Types of solutions,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,14,1,,0.0109,0.0,0,Low sim=0.011
Standard and Canonical of LPP,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,,0.224,0.125,1,Adjacent topics: delta=1 + sim=0.224
Standard and Canonical of LPP,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,,0.1656,0.0,0,No signal: sim=0.166 delta=2 kw=0.000
Standard and Canonical of LPP,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,,0.1601,0.0,0,No signal: sim=0.160 delta=3 kw=0.000
Standard and Canonical of LPP,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,,0.0818,0.0,0,Low sim=0.082
Standard and Canonical of LPP,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,,0.0827,0.0,0,Low sim=0.083
Standard and Canonical of LPP,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,,0.1686,0.0,0,No signal: sim=0.169 delta=6 kw=0.000
Standard and Canonical of LPP,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,,0.0824,0.1111,0,Low sim=0.082
Standard and Canonical of LPP,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,,0.0865,0.0,0,Low sim=0.086
Standard and Canonical of LPP,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,,-0.0222,0.125,0,Low sim=-0.022
Standard and Canonical of LPP,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,,0.0379,0.2,0,Low sim=0.038
Standard and Canonical of LPP,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,,0.0169,0.1111,0,Low sim=0.017
Standard and Canonical of LPP,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,,0.1162,0.1429,0,Low sim=0.116
Standard and Canonical of LPP,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,,0.0601,0.0,0,Low sim=0.060
Standard and Canonical of LPP,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,14,1,,0.0491,0.0,0,Low sim=0.049
Basic and Feasible solutions,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,,0.33,0.0,1,Foundational kw + sim=0.330 + delta=1
Basic and Feasible solutions,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,,0.4269,0.0,1,Foundational kw + sim=0.427 + delta=2
Basic and Feasible solutions,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,,0.2568,0.0,1,Foundational kw + sim=0.257 + delta=3
Basic and Feasible solutions,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,,0.1335,0.0,0,Low sim=0.133
Basic and Feasible solutions,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,,0.1608,0.0,0,No signal: sim=0.161 delta=5 kw=0.000
Basic and Feasible solutions,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,,0.1536,0.0,0,No signal: sim=0.154 delta=6 kw=0.000
Basic and Feasible solutions,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,,0.143,0.0,0,Low sim=0.143
Basic and Feasible solutions,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,,-0.0731,0.0,0,Low sim=-0.073
Basic and Feasible solutions,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,,-0.0582,0.1,0,Low sim=-0.058
Basic and Feasible solutions,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,,-0.0442,0.0,0,Low sim=-0.044
Basic and Feasible solutions,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,,0.1566,0.0,0,No signal: sim=0.157 delta=11 kw=0.000
Basic and Feasible solutions,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,,0.0337,0.0,0,Low sim=0.034
Basic and Feasible solutions,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,,0.0636,0.0,0,Low sim=0.064
Simplex method,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,,0.267,0.0,1,Adjacent topics: delta=1 + sim=0.267
Simplex method,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,,0.0561,0.0,0,Low sim=0.056
Simplex method,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,,0.0279,0.0,0,Low sim=0.028
Simplex method,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,,0.1412,0.0,0,Low sim=0.141
Simplex method,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,,0.155,0.0,0,No signal: sim=0.155 delta=5 kw=0.000
Simplex method,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,,-0.0792,0.0,0,Low sim=-0.079
Simplex method,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,,0.0877,0.0,0,Low sim=0.088
Simplex method,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,,0.1592,0.0,0,No signal: sim=0.159 delta=8 kw=0.000
Simplex method,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,,0.0717,0.0,0,Low sim=0.072
Simplex method,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,,0.1042,0.0,0,Low sim=0.104
Simplex method,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,,0.096,0.0,0,Low sim=0.096
Simplex method,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,,0.0617,0.0,0,Low sim=0.062
Artificial variables,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,,0.208,0.0,1,Adjacent topics: delta=1 + sim=0.208
Artificial variables,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,,0.0703,0.0,0,Low sim=0.070
Artificial variables,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,,0.0242,0.0,0,Low sim=0.024
Artificial variables,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,,0.1005,0.0,0,Low sim=0.101
Artificial variables,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,,0.0852,0.0,0,Low sim=0.085
Artificial variables,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,,-0.0556,0.0,0,Low sim=-0.056
Artificial variables,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,,-0.0434,0.0,0,Low sim=-0.043
Artificial variables,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,,0.0469,0.0,0,Low sim=0.047
Artificial variables,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,,0.3424,0.0,0,No signal: sim=0.342 delta=9 kw=0.000
Artificial variables,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,,0.1467,0.0,0,Low sim=0.147
Artificial variables,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,,0.121,0.0,0,Low sim=0.121
Kuhn-Tucker conditions,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,,0.0039,0.0,0,Low sim=0.004
Kuhn-Tucker conditions,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,,-0.0388,0.0,0,Low sim=-0.039
Kuhn-Tucker conditions,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,,-0.0484,0.0,0,Low sim=-0.048
