concept_a,concept_b,source_syllabus,order_delta,label,reason,domain_match,Course_Code,course_name,embedding_similarity,keyword_overlap
Similarity of matrices,Method and Adam Bashford Predictor,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.0368,0.0
Similarity of matrices,Corrector Method to chemical engineering,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,-0.0119,0.0
Similarity of matrices,Forward and Backward difference operators ∆,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.1259,0.0
Similarity of matrices,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.0607,0.0
Similarity of matrices,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.1578,0.0
Diagonalization of matrices,Applying to chemical engineering problems related,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.012,0.0
Diagonalization of matrices,Eulers method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.0375,0.0
Diagonalization of matrices,Kutta second Order method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.1198,0.0
Diagonalization of matrices,Applications of Runge-Kutta Fourth order,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.0885,0.125
Diagonalization of matrices,Method and Adam Bashford Predictor,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.068,0.0
Diagonalization of matrices,Corrector Method to chemical engineering,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.0424,0.0
Diagonalization of matrices,Forward and Backward difference operators ∆,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.1485,0.0
Diagonalization of matrices,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.113,0.0
Diagonalization of matrices,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.0144,0.0
Applying to chemical engineering problems related,Eulers method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.1601,0.0
Applying to chemical engineering problems related,Kutta second Order method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.182,0.0
Applying to chemical engineering problems related,Applications of Runge-Kutta Fourth order,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.1858,0.0
Applying to chemical engineering problems related,Method and Adam Bashford Predictor,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.0921,0.0
Applying to chemical engineering problems related,Corrector Method to chemical engineering,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,1,High sim=0.646 + delta=5,1.0,,,0.6458,0.375
Applying to chemical engineering problems related,Forward and Backward difference operators ∆,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.0393,0.0
Applying to chemical engineering problems related,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.0049,0.0
Applying to chemical engineering problems related,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.0988,0.0
Eulers method,Kutta second Order method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,Adjacent same-course topics: delta=1 + sim=0.471,1.0,,,0.4711,0.2
Eulers method,Applications of Runge-Kutta Fourth order,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,1,Adjacent same-course topics: delta=2 + sim=0.410,1.0,,,0.4099,0.0
Eulers method,Method and Adam Bashford Predictor,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.2555,0.1667
Eulers method,Corrector Method to chemical engineering,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.3499,0.1667
Eulers method,Forward and Backward difference operators ∆,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.1891,0.0
Eulers method,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.2119,0.0
Eulers method,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.1773,0.0
Kutta second Order method,Applications of Runge-Kutta Fourth order,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,High sim=0.723 + delta=1,1.0,,,0.7233,0.25
Kutta second Order method,Method and Adam Bashford Predictor,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.2409,0.125
Kutta second Order method,Corrector Method to chemical engineering,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.3192,0.125
Kutta second Order method,Forward and Backward difference operators ∆,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.1626,0.0
Kutta second Order method,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.0911,0.0
Kutta second Order method,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,-0.0814,0.0
Applications of Runge-Kutta Fourth order,Method and Adam Bashford Predictor,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.2847,0.0
Applications of Runge-Kutta Fourth order,Corrector Method to chemical engineering,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.2338,0.0
Applications of Runge-Kutta Fourth order,Forward and Backward difference operators ∆,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.2533,0.0
Applications of Runge-Kutta Fourth order,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.0716,0.0
Applications of Runge-Kutta Fourth order,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,-0.0343,0.0
Method and Adam Bashford Predictor,Corrector Method to chemical engineering,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.2992,0.1111
Method and Adam Bashford Predictor,Forward and Backward difference operators ∆,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.0923,0.1111
Method and Adam Bashford Predictor,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.1189,0.0
Method and Adam Bashford Predictor,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.058,0.0
Corrector Method to chemical engineering,Forward and Backward difference operators ∆,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.0864,0.0
Corrector Method to chemical engineering,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.0501,0.0
Corrector Method to chemical engineering,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.0026,0.0
Forward and Backward difference operators ∆,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,Adjacent same-course topics: delta=1 + sim=0.421,1.0,,,0.4208,0.0
Forward and Backward difference operators ∆,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.1312,0.0
Shift operator E,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,Adjacent same-course topics: delta=1 + sim=0.536,1.0,,,0.536,0.2
Screening equipment – Vibrating screen,Grizzlies and Trommels,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,-0.0116,0.0
Screening equipment – Vibrating screen,Size reduction of solids. Mechanism of size,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.0285,0.0
Screening equipment – Vibrating screen,Size reduction equipment – Jaw crusher,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.2219,0.125
Screening equipment – Vibrating screen,"Hammer mill, Ball mill and Roll crusher",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.096,0.0
Screening equipment – Vibrating screen,Solid mixing – Introduction to solid mixing,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,-0.0396,0.0
Screening equipment – Vibrating screen,Mixing equipment for cohesive solids,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.118,0.125
Screening equipment – Vibrating screen,Mixers for free flowing solids: Ribbon,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.0998,0.0
Screening equipment – Vibrating screen,Flow of a single fluid through a packed bed,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,-0.0389,0.0
Screening equipment – Vibrating screen,Ergun’s equation,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,-0.0289,0.0
Screening equipment – Vibrating screen,Fluidization: conditions for fluidization,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.005,0.0
Screening equipment – Vibrating screen,Solid fluid,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.0794,0.0
Screening equipment – Vibrating screen,Sedimentation: Batch sedimentation. Kynch,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,12,0,Insufficient signal,1.0,,,0.0165,0.0
Screening equipment – Vibrating screen,Gas solid separation equipment: Cyclone,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,13,0,Insufficient signal,1.0,,,0.1332,0.125
Screening equipment – Vibrating screen,Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,14,0,Insufficient signal,1.0,,,-0.0234,0.0
Grizzlies and Trommels,Size reduction of solids. Mechanism of size,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,-0.0333,0.0
Grizzlies and Trommels,Size reduction equipment – Jaw crusher,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,-0.0165,0.0
Grizzlies and Trommels,"Hammer mill, Ball mill and Roll crusher",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.1728,0.125
Grizzlies and Trommels,Solid mixing – Introduction to solid mixing,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,-0.0442,0.0
Grizzlies and Trommels,Mixing equipment for cohesive solids,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,-0.063,0.0
Grizzlies and Trommels,Mixers for free flowing solids: Ribbon,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,-0.0494,0.0
Grizzlies and Trommels,Flow of a single fluid through a packed bed,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.0532,0.0
Grizzlies and Trommels,Ergun’s equation,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.0399,0.0
Grizzlies and Trommels,Fluidization: conditions for fluidization,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.0636,0.0
Grizzlies and Trommels,Solid fluid,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.0502,0.0
Grizzlies and Trommels,Sedimentation: Batch sedimentation. Kynch,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.0494,0.0
Grizzlies and Trommels,Gas solid separation equipment: Cyclone,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,12,0,Insufficient signal,1.0,,,-0.0644,0.0
Grizzlies and Trommels,Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,13,0,Insufficient signal,1.0,,,-0.1327,0.0
Grizzlies and Trommels,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,14,0,Insufficient signal,1.0,,,-0.0625,0.0
Size reduction of solids. Mechanism of size,Size reduction equipment – Jaw crusher,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,Adjacent same-course topics: delta=1 + sim=0.504,1.0,,,0.5044,0.25
Size reduction of solids. Mechanism of size,"Hammer mill, Ball mill and Roll crusher",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.1215,0.0
Size reduction of solids. Mechanism of size,Solid mixing – Introduction to solid mixing,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.1973,0.0
Size reduction of solids. Mechanism of size,Mixing equipment for cohesive solids,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.2637,0.1111
Size reduction of solids. Mechanism of size,Mixers for free flowing solids: Ribbon,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.2451,0.1
Size reduction of solids. Mechanism of size,Flow of a single fluid through a packed bed,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.1227,0.0833
Size reduction of solids. Mechanism of size,Ergun’s equation,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.1154,0.0
Size reduction of solids. Mechanism of size,Fluidization: conditions for fluidization,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.2257,0.0
Size reduction of solids. Mechanism of size,Solid fluid,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.228,0.0
Size reduction of solids. Mechanism of size,Sedimentation: Batch sedimentation. Kynch,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.0762,0.0
Size reduction of solids. Mechanism of size,Gas solid separation equipment: Cyclone,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.3121,0.0
Size reduction of solids. Mechanism of size,Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,12,0,Insufficient signal,1.0,,,0.3957,0.25
Size reduction of solids. Mechanism of size,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,13,0,Insufficient signal,1.0,,,0.2658,0.2222
Size reduction equipment – Jaw crusher,"Hammer mill, Ball mill and Roll crusher",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,Adjacent same-course topics: delta=1 + sim=0.389,1.0,,,0.3894,0.1
Size reduction equipment – Jaw crusher,Solid mixing – Introduction to solid mixing,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.0527,0.0
Size reduction equipment – Jaw crusher,Mixing equipment for cohesive solids,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.2999,0.1111
Size reduction equipment – Jaw crusher,Mixers for free flowing solids: Ribbon,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.2731,0.0
Size reduction equipment – Jaw crusher,Flow of a single fluid through a packed bed,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.0124,0.0
Size reduction equipment – Jaw crusher,Ergun’s equation,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.0098,0.0
Size reduction equipment – Jaw crusher,Fluidization: conditions for fluidization,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.092,0.0
Size reduction equipment – Jaw crusher,Solid fluid,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.02,0.0
Size reduction equipment – Jaw crusher,Sedimentation: Batch sedimentation. Kynch,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.0774,0.0
Size reduction equipment – Jaw crusher,Gas solid separation equipment: Cyclone,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.279,0.1111
Size reduction equipment – Jaw crusher,Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.0904,0.0
Size reduction equipment – Jaw crusher,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,12,0,Insufficient signal,1.0,,,0.2372,0.0
"Hammer mill, Ball mill and Roll crusher",Solid mixing – Introduction to solid mixing,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.2432,0.0
"Hammer mill, Ball mill and Roll crusher",Mixing equipment for cohesive solids,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.2854,0.0
"Hammer mill, Ball mill and Roll crusher",Mixers for free flowing solids: Ribbon,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.2836,0.0
"Hammer mill, Ball mill and Roll crusher",Flow of a single fluid through a packed bed,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.0338,0.0
"Hammer mill, Ball mill and Roll crusher",Ergun’s equation,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.0261,0.0
"Hammer mill, Ball mill and Roll crusher",Fluidization: conditions for fluidization,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.0543,0.0
"Hammer mill, Ball mill and Roll crusher",Solid fluid,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.1826,0.0
"Hammer mill, Ball mill and Roll crusher",Sedimentation: Batch sedimentation. Kynch,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.1697,0.0
"Hammer mill, Ball mill and Roll crusher",Gas solid separation equipment: Cyclone,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.1824,0.0
"Hammer mill, Ball mill and Roll crusher",Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.0791,0.0
"Hammer mill, Ball mill and Roll crusher","Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.379,0.0
Solid mixing – Introduction to solid mixing,Mixing equipment for cohesive solids,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,High sim=0.704 + delta=1,1.0,,,0.7036,0.125
Solid mixing – Introduction to solid mixing,Mixers for free flowing solids: Ribbon,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,1,Foundational kw in A + sim=0.544 + delta=2,1.0,,,0.5437,0.0
Solid mixing – Introduction to solid mixing,Flow of a single fluid through a packed bed,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.2667,0.0
Solid mixing – Introduction to solid mixing,Ergun’s equation,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.0433,0.0
Solid mixing – Introduction to solid mixing,Fluidization: conditions for fluidization,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.3326,0.0
Solid mixing – Introduction to solid mixing,Solid fluid,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,1,Foundational kw in A + sim=0.492 + delta=6,1.0,,,0.492,0.2
Solid mixing – Introduction to solid mixing,Sedimentation: Batch sedimentation. Kynch,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.2418,0.0
Solid mixing – Introduction to solid mixing,Gas solid separation equipment: Cyclone,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,1,Foundational kw in A + sim=0.392 + delta=8,1.0,,,0.3921,0.125
Solid mixing – Introduction to solid mixing,Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.4094,0.0
Solid mixing – Introduction to solid mixing,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.2664,0.0
Mixing equipment for cohesive solids,Mixers for free flowing solids: Ribbon,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,sim=0.578>=0.55 + delta=1<=5,1.0,,,0.5782,0.2222
Mixing equipment for cohesive solids,Flow of a single fluid through a packed bed,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.2133,0.0
Mixing equipment for cohesive solids,Ergun’s equation,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,-0.0442,0.0
Mixing equipment for cohesive solids,Fluidization: conditions for fluidization,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.2461,0.1429
Mixing equipment for cohesive solids,Solid fluid,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.3754,0.0
Mixing equipment for cohesive solids,Sedimentation: Batch sedimentation. Kynch,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.1518,0.0
Mixing equipment for cohesive solids,Gas solid separation equipment: Cyclone,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.4493,0.1111
Mixing equipment for cohesive solids,Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.3968,0.1111
Mixing equipment for cohesive solids,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.3905,0.1
Mixers for free flowing solids: Ribbon,Flow of a single fluid through a packed bed,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.2954,0.0
Mixers for free flowing solids: Ribbon,Ergun’s equation,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.0336,0.0
Mixers for free flowing solids: Ribbon,Fluidization: conditions for fluidization,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.2854,0.125
Mixers for free flowing solids: Ribbon,Solid fluid,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.3486,0.0
Mixers for free flowing solids: Ribbon,Sedimentation: Batch sedimentation. Kynch,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.1048,0.0
Mixers for free flowing solids: Ribbon,Gas solid separation equipment: Cyclone,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.3225,0.0
Mixers for free flowing solids: Ribbon,Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.2664,0.1
Mixers for free flowing solids: Ribbon,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,0.4427,0.0909
Flow of a single fluid through a packed bed,Ergun’s equation,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,0,Insufficient signal,1.0,,,0.1774,0.0
Flow of a single fluid through a packed bed,Fluidization: conditions for fluidization,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,1,Adjacent same-course topics: delta=2 + sim=0.448,1.0,,,0.4483,0.0
Flow of a single fluid through a packed bed,Solid fluid,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.464,0.1111
Flow of a single fluid through a packed bed,Sedimentation: Batch sedimentation. Kynch,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.1778,0.0
Flow of a single fluid through a packed bed,Gas solid separation equipment: Cyclone,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.2954,0.0
